Field,ID,Type (Type),default,en-us,ar-sa,bg-bg,cs-cz,da-dk,de-de,el-gr,es-es,fa-ir,fi-fi,fr-fr,he-il,hr-hr,hu-hu,id-id,it-it,ja-jp,ko-kr,lt-lt,lv-lv,ms-my,nb-no,nl-nl,pl-pl,pt-br,pt-pt,ro-ro,ru-ru,sk-sk,sl-si,sr-latn-rs,sv-se,th-th,tr-tr,uk-ua,vi-vn,zh-cn,zh-tw
Feature9,708,Text,,"Compute MD5, SHA-1, SHA-256 and SHA-512 checksums of the selected image",,,,,,,,,,"Calcule les check-sums MD5, SHA-1, SHA-256 et SHA-512 de l'image sélectionnée",,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature10,709,Text,,"Perform bad blocks checks, including detection of ""fake"" flash drives",,,,,,,,,,"Effectue une verification de mauvais secteurs, incluant la détection de 'fake drives'",,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature11,710,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature12,711,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature13,712,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature14,713,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature15,714,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature16,715,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature17,716,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature18,717,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature19,718,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature20,719,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq1,800,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq2,801,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq3,802,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq4,803,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq5,804,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq6,805,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq7,806,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq8,807,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq9,808,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq10,809,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq11,810,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq1,850,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq2,851,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq3,852,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq4,853,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq5,854,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq6,855,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq7,856,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq8,857,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq9,858,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq10,859,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq11,860,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SearchTerm1,900,Text,,USB,,,,,,,,,,rufus,,,,,,,,,,,,,,,,,,,,,,,,,,,
SearchTerm2,901,Text,,bootable,,,,,,,,,,iso,,,,,,,,,,,,,,,,,,,,,,,,,,,
SearchTerm3,902,Text,,Linux,,,,,,,,,,bootable,,,,,,,,,,,,,,,,,,,,,,,,,,,
SearchTerm4,903,Text,,Windows,,,,,,,,,,usb,,,,,,,,,,,,,,,,,,,,,,,,,,,
SearchTerm5,904,Text,,UEFI,,,,,,,,,,format,,,,,,,,,,,,,,,,,,,,,,,,,,,
SearchTerm6,905,Text,,BIOS,,,,,,,,,,flash drive,,,,,,,,,,,,,,,,,,,,,,,,,,,
SearchTerm7,906,Text,,DOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerToPlayAtTopOfListing,999,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer1,1000,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer2,1001,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer3,1002,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer4,1003,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer5,1004,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer6,1005,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer7,1006,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer8,1007,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer9,1008,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer10,1009,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer11,1010,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer12,1011,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer13,1012,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer14,1013,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer15,1014,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle1,1020,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle2,1021,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle3,1022,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle4,1023,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle5,1024,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle6,1025,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle7,1026,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle8,1027,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle9,1028,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle10,1029,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle11,1030,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle12,1031,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle13,1032,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle14,1033,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle15,1034,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail1,1040,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail2,1041,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail3,1042,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail4,1043,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail5,1044,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail6,1045,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail7,1046,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail8,1047,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail9,1048,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail10,1049,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail11,1050,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail12,1051,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail13,1052,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail14,1053,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail15,1054,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
